Type,Model,Subject,Task,Run,FileCount
hcp,firstlvl,sub-100206,language,1,12
hcp,firstlvl,sub-100307,language,1,12
hcp,firstlvl,sub-100408,language,1,12
hcp,firstlvl,sub-100610,language,1,12
hcp,firstlvl,sub-101006,language,1,12
hcp,firstlvl,sub-101107,language,1,12
hcp,firstlvl,sub-101309,language,1,12
hcp,firstlvl,sub-101410,language,1,12
hcp,firstlvl,sub-101915,language,1,12
hcp,firstlvl,sub-102008,language,1,12
hcp,firstlvl,sub-102109,language,1,12
hcp,firstlvl,sub-102311,language,1,12
hcp,firstlvl,sub-102513,language,1,12
hcp,firstlvl,sub-102614,language,1,12
hcp,firstlvl,sub-102715,language,1,12
hcp,firstlvl,sub-102816,language,1,12
hcp,firstlvl,sub-103010,language,1,12
hcp,firstlvl,sub-103111,language,1,12
hcp,firstlvl,sub-103212,language,1,12
hcp,firstlvl,sub-103414,language,1,12
hcp,firstlvl,sub-103515,language,1,12
hcp,firstlvl,sub-103818,language,1,12
hcp,firstlvl,sub-104012,language,1,12
hcp,firstlvl,sub-104416,language,1,12
hcp,firstlvl,sub-104820,language,1,12
hcp,firstlvl,sub-105014,language,1,12
hcp,firstlvl,sub-105115,language,1,12
hcp,firstlvl,sub-105216,language,1,12
hcp,firstlvl,sub-105620,language,1,12
hcp,firstlvl,sub-105923,language,1,12
hcp,firstlvl,sub-106016,language,1,12
hcp,firstlvl,sub-106319,language,1,12
hcp,firstlvl,sub-106521,language,1,12
hcp,firstlvl,sub-106824,language,1,12
hcp,firstlvl,sub-107018,language,1,12
hcp,firstlvl,sub-107220,language,1,12
hcp,firstlvl,sub-107321,language,1,12
hcp,firstlvl,sub-107422,language,1,12
hcp,firstlvl,sub-107725,language,1,12
hcp,firstlvl,sub-108020,language,1,12
hcp,firstlvl,sub-108121,language,1,12
hcp,firstlvl,sub-108222,language,1,12
hcp,firstlvl,sub-108323,language,1,12
hcp,firstlvl,sub-108525,language,1,12
hcp,firstlvl,sub-108828,language,1,12
hcp,firstlvl,sub-109123,language,1,12
hcp,firstlvl,sub-109325,language,1,12
hcp,firstlvl,sub-109830,language,1,12
hcp,firstlvl,sub-110007,language,1,12
hcp,firstlvl,sub-110411,language,1,12
hcp,firstlvl,sub-110613,language,1,0
hcp,firstlvl,sub-111009,language,1,12
hcp,firstlvl,sub-111211,language,1,12
hcp,firstlvl,sub-111312,language,1,12
hcp,firstlvl,sub-111413,language,1,12
hcp,firstlvl,sub-111514,language,1,12
hcp,firstlvl,sub-112112,language,1,12
hcp,firstlvl,sub-112314,language,1,12
hcp,firstlvl,sub-112516,language,1,12
hcp,firstlvl,sub-112819,language,1,0
hcp,firstlvl,sub-112920,language,1,12
hcp,firstlvl,sub-113215,language,1,12
hcp,firstlvl,sub-113316,language,1,12
hcp,firstlvl,sub-113417,language,1,0
